seed,edge_auroc_candidate,edge_f1_candidate,node_auroc_candidate,node_f1_candidate,subgraph_f1_candidate,edge_auroc_reference,edge_f1_reference,node_auroc_reference,node_f1_reference,subgraph_f1_reference
11,0.4681999999999999,0.3716814159292035,0.0522199217851392,0.0,1.0,0.953725,0.8087431693989071,0.8872785829307569,0.1212121212121212,1.0
22,0.6894250000000001,0.3941605839416058,0.9751552795031057,0.0614035087719298,1.0,0.953725,0.8087431693989071,0.8872785829307569,0.1212121212121212,1.0
33,0.8452,0.6432748538011696,0.6648263170002301,0.0239520958083832,1.0,0.953725,0.8087431693989071,0.8872785829307569,0.1212121212121212,1.0
44,0.5318,0.333889816360601,0.1534391534391534,0.0220472440944881,1.0,0.953725,0.8087431693989071,0.8872785829307569,0.1212121212121212,1.0
55,0.644375,0.4285714285714285,0.9797561536691972,0.1085271317829457,1.0,0.953725,0.8087431693989071,0.8872785829307569,0.1212121212121212,1.0
